Area_Criadora_Evento,Area_Solucionadora,UF,Segmentacao_Cliente,Nivel_1,Nivel_2,Nivel_3,Acao_Resolucao,contrato,Nome_tecnologia_aparelho
Area_3,Area_1,RJ,Seg_1,N1_1,N2_4,N3_29,AR_3,Contr_2,GSM
Area_2,Area_1,SP,Seg_1,N1_1,N2_1,N3_2,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_6,Area_3,,Seg_2,N1_3,N2_3,N3_3,AR_2,Contr_2,GSM
Area_9,Area_6,SP,Seg_2,N1_1,N2_6,N3_14,AR_1,Contr_2,GSM
Area_6,Area_3,,Seg_14,N1_3,N2_3,N3_3,AR_5,Contr_2,GSM
Area_12,Area_4,CE,Seg_7,N1_2,N2_10,N3_3,AR_2,Contr_3,GSM
Area_22,Area_13,MG,Seg_15,N1_8,N2_9,N3_27,AR_12,Contr_2,GSM
Area_9,Area_14,MT,Seg_10,N1_1,N2_6,N3_8,AR_1,Contr_2,GSM
Area_17,Area_1,PB,Seg_7,N1_6,N2_12,N3_18,AR_7,Contr_5,GSM
Area_5,Area_1,BA,Seg_1,N1_1,N2_6,N3_6,AR_8,Contr_1,3G - WCDMA (UMTS)
Area_5,Area_1,BA,Seg_1,N1_1,N2_6,N3_6,AR_8,Contr_1,3G - WCDMA (UMTS)
Area_12,Area_1,CE,Seg_7,N1_1,N2_10,N3_30,AR_7,Contr_3,GSM
Area_3,Area_1,SP,Seg_1,N1_1,N2_4,N3_4,AR_3,Contr_1,3G - WCDMA (UMTS)
Area_14,Area_4,MG,Seg_8,N1_4,N2_4,N3_31,AR_3,Contr_3,GSM
Area_23,Area_2,MG,Seg_16,N1_4,N2_15,N3_32,AR_5,Contr_2,GSM
Area_18,Area_1,SP,Seg_1,N1_1,N2_6,N3_33,AR_2,Contr_1,3G - WCDMA (UMTS)
Area_13,Area_2,BA,Seg_2,N1_2,N2_2,N3_3,AR_2,Contr_2,GSM
Area_3,Area_1,SE,Seg_1,N1_1,N2_9,N3_10,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_1,N1_1,N2_1,N3_1,AR_9,Contr_1,3G - WCDMA (UMTS)
Area_13,Area_2,AL,Seg_4,N1_1,N2_16,N3_34,AR_5,Contr_2,GSM
Area_3,Area_4,SP,Seg_1,N1_2,N2_5,N3_3,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,SC,Seg_1,N1_1,N2_6,N3_8,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,RJ,Seg_1,N1_2,N2_5,N3_2,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_14,Area_4,CE,Seg_8,N1_4,N2_4,N3_31,AR_2,Contr_1,GSM
Area_3,Area_2,SP,Seg_2,N1_2,N2_5,N3_2,AR_2,Contr_3,GSM
Area_20,Area_10,SP,Seg_4,N1_1,N2_4,N3_35,AR_12,Contr_2,GSM
Area_17,Area_1,RN,Seg_7,N1_6,N2_12,N3_18,AR_7,Contr_5,GSM
Area_19,Area_2,ES,Seg_2,N1_2,N2_5,N3_3,AR_14,Contr_2,GSM
Area_3,Area_1,ES,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_3,Area_1,SP,Seg_2,N1_1,N2_4,N3_16,AR_10,Contr_3,GSM
Area_9,Area_1,MG,Seg_2,N1_1,N2_6,N3_36,AR_13,Contr_2,GSM
Area_3,Area_1,RJ,Seg_1,N1_1,N2_6,N3_19,AR_1,Contr_2,3G - WCDMA (UMTS)
Area_12,Area_1,CE,Seg_7,N1_1,N2_10,N3_13,AR_7,Contr_3,GSM
Area_22,Area_1,RJ,Seg_1,N1_1,N2_6,N3_8,AR_9,Contr_1,3G - WCDMA (UMTS)
Area_12,Area_1,PE,Seg_7,N1_1,N2_10,N3_13,AR_7,Contr_3,GSM
Area_7,Area_4,SP,Seg_1,N1_2,N2_2,N3_5,AR_1,Contr_1,Outras
